,sentence,label,filename
309,"osnovni sud u beranama k.br75/11 u ime naroda osnovni sud u beranama, kao prvostepeni krivični, u vijeću sastavljenom od sudije ane kenjić-đukić, kao predsjednika vijeća i sudija porotnika stajke miletić i stojana kukalja, kao članova vijeća, uz sudjelovanje zapisničara marine obadović, u krivičnom predmetu protiv optuženih a. š., iz k., kosovo i b. h., iz p., kosovo, zbog produženog krivičnog djela teška krađa u pokušaju iz čl 240 st. 1 tač 1 krivičnog zakonika, u vezi sa čl 20 i čl 49 kz po optužnici osnovnog državnog tužilaštva u beranama kt br 466/2010 od 18.02.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
310,"2011. godine, nakon održanog glavnog i javnog pretresa, u prisustvu odt-a gorice golubović, optuženih i ovlašćenog predstavnika oštećene f. p. „n.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
311,"b.“ doo m. b., a u odsustvu ovlašćenog predstavnika oštećene fabrike „k.“, donio je i javno objavio dana 29.06.2011. godine, p r e s u d u i prema optuženima: 1. a. š., od oca dž.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
312,"i majke d., rođene š., rođenom … godine u k., k., sa prebivalištem u naselju r., opština b., državljaninu srbije, nezaposlenom, oženjenom, ocu troje djece, školu nije učio, nepismenom, srednjeg imovnog stanja, neosuđivanom i 2. b. h., od oca r. i majke lj., rođene h., rođenom … godine u p., k., sa prebivalištem u naselju r., opština b., državljaninu srbije, nezaposlenom, neoženjenom, školu nije učio, nepismenom, srednjeg imovnog stanja, neosuđivanom odbija se optužba da su: dana 07.12.2010. godine, oko 22:10 časova, u naselju r. u b., po prethodnom dogovoru, zajedno obili pomoćni objekat fabrike ""k."", na način što su upotrebom fizičke snage, nogama, razvalili vrata pomoćnog objekta fabrike, ušli u unutrašnjost istog i pokušali da oduzmu metalne djelove, u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist, u čemu su spriječeni od strane šefa obezbedjenja ž. v., - čime bi izvršili krivično djelo teška kradja u pokušaju iz čl 240 st. 1 tač 1 krivičnog zakonika, u vezi sa čl 20 krivičnog zakonika.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
313,"usled odustanka odt-a berane od optužbe, na osnovu čl 362 tač 1 zkp-a.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
314,"ii optuženi a. š. i b. h., oslobadjaju se od optužbe da su: u isto vrijeme i na istom mjestu, kao pod stavom i izreke presude, po prethodnom dogovoru, zajedno obili pomoćni objekat fabrike ""b.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
315,""", na način što su sa prozora pomoćnog objekta fabrike ""b.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
316,""", upotrebom fizičke snage skinuli metalnu rešetku i napravili otvor dimenzija 0,5 x 1,20 m, potom podesnim sredstvom - bonsekom prerezali katanac sa vrata pomoćnog objekta fabrike ""b.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
317,""", u kome su se nalazile metalne šipke i bakarni kablovi, u namjeri da njihovim prisvajanjem sebi pribave protiv pravnu imovinsku korist, zatim su primijetivši stražara r. m. pobjegli u pravcu fabrike ""k."", - čime bi kao saizvršioci izvršili krivično djelo teška kradja u pokušaju iz čl 240 st. 1 tač1 krivičnog zakonika, u vezi sa čl 20 krivičnog zakonika.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
318,"- pošto nije dokazano da su izvršili krivično djelo, koje im je optužnicom stavljeno na teret, na osnovu čl 363 tač 3 zkp-a.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
319,"troškovi krivičnog postupka, padaju na teret budžetskih sredstava ovog suda na osnovu čl 203 st.1 zkp-a.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
320,oštećena fabrika „n.,,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
321,"b.“ doo, iz b., pravni sledbenik fabrike „b.“ b., radi ostvarivanja imovinskog pravnog zahtjeva za naknadu štete, upućuje se na parnicu, na osnovu čl 212 st.3 zkp-a.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
322,"o b r a z l o ž e nj e osnovno državno tužilaštvo u beranama, podnijelo je optužnicu ktbr 466/10 od 18.02.2011. godine, protiv optuženih a. š. , iz k., kosovo i b. h. , iz p., k., zbog produženog krivičnog djela teška krađa u pokušaju iz čl 240 st. 1 tač 1 krivičnog zakonika, u vezi sa čl 20 i čl49 krivičnog zakonika.",,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10152.txt
