,Unnamed: 0,sentence,filename,cluster
1521,1521,m. s. i oštećenog v. j.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,2
1522,1522,donio je i javno objavio dana 30.05.2011. godine p r e s u d u okrivljeni m. b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,2
1523,1523,od oca b. i majke i.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1524,1524,rodjen … godine u b.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1525,1525,stalno nastanjen u ul.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1526,1526,k r i v je : što je: dana 11.10.2010.godine,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,1
1527,1527,koji prolazi u blizini njegove kuće u selu š.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1528,1528,suprotno čl11 zakona o oružju ( sl.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1529,1529,list republike crne gore br 49/2004),data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1530,1530,neovlašćeno nosio na javnom mjestu pištolj marke „zastava m70“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,2
1531,1531,sa okvirom u kojem se nalazi 8 metaka,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1532,1532,a kojim je ugrozio sigurnost oštećenog v. j.,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,2
1533,1533,prijetnjom da će napasti na njegov život ili tijelo,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1534,1534,na način što ga je repertirao,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,0
1535,1535,usmjerio u pravcu oštećenog i uputio mu riječi „sad ću da te ubijem“,data\K - PRVOSTEPENI KRIVIČNI PREDMETI\presuda_text_10160.txt,1
